drugName,Review,rating,Processed_Review,sentiment_score
NuvaRing,I was off birth control for a while considering getting pregnant I had used other types of birth control before the pill the patch etc I decided to get back on birth control but didnt want to worry about taking a daily pill so I requested the Nuvaring When I started the Nuvaring I felt it inside my body and had a lot of cramps A few days later I started experiencing more cramps and very strong upper stomach pain They were so bad I missed work for a week Finally I ended up going to the ER and they couldnt figure out what was wrong I finally asked the doctor and it was the Nuvaring side effects,5,i birth control consid get pregnant i use type birth control pill patch etc i decid get back birth control didnt want worri take daili pill i request nuvar when i start nuvar i felt insid bodi lot cramp a day later i start experienc cramp strong upper stomach pain they bad i miss work week final i end go er couldnt figur wrong i final ask doctor nuvar side effect,0.9365667160600424
Prepopik,I took the Prepopik for my first colonoscopy Im and I found it to be very effective The orange flavor was very tolerable I had no bad cramps or terrible side effects with it but I had taken magnesium citrate the night before and that had already cleaned me out somewhat My only issue was I ended up so dehydrated that I showed up to my colonoscopy with a fever Try to drink as much fluid as you can with this prep I drank plenty but there was more liquid coming out of me than going in Overall I would recommend the Prepopik On a side note my insurance didnt cover it but the office I go to had it available I recommend asking your office if they have it available if insurance wont cover it at the pharmacy,9,i took prepopik first colonoscopi im i found effect the orang flavor toler i bad cramp terribl side effect i taken magnesium citrat night alreadi clean somewhat my issu i end dehydr i show colonoscopi fever tri drink much fluid prep i drank plenti liquid come go overal i would recommend prepopik on side note insur didnt cover offic i go avail i recommend ask offic avail insur wont cover pharmaci,0.9339839920401574
Tretinoin,I just hit my three month point on tretinoin and Im so happy I was really depressed about my skin during the first two months because Ive never had bad acne and the cream made me have horrible acne But I knew that was the worst part of it and after that was over I would be fine Ive inly had two zits since then and Im only left with scars which is fine Try it out even if youre scared because I was too and Im so glad i did Its worth it,10,i hit three month point tretinoin im happi i realli depress skin first two month ive never bad acn cream made horribl acn but i knew worst part i would fine ive inli two zit sinc im left scar fine tri even your scare i im glad it worth,1.0000000186264515
Effexor XR,This medicine saved my life I was at my wits end with antidepressants and was ready to give up My doctor finally prescribed me this after many failed medications I am so glad she did I honestly do not know where I would be without Effexor XR Side effects were very mild compared to other antidepressants I tried I was drowsy for the first couple days but it was tolerable I highly recommend this for severe depression I would also like to mention for people to realize there is light at the end of the tunnel and YOU WILL GET BETTER and to never give up,10,thi medicin save life i wit end antidepress readi give my doctor final prescrib mani fail medic i glad i honestli know i would without effexor xr side effect mild compar antidepress i tri i drowsi first coupl day toler i highli recommend sever depress i would also like mention peopl realiz light end tunnel you will get better never give,0.9999999767169356
Gildess Fe 1 / 20,it caused me to gain pounds,2,caus gain pound,-0.01071668416261673
Ethinyl estradiol / norgestimate,Best treatment for acne I have used Ive gone through accutane many face washes retinol creams and other forms of birth control Some other forms of birth control just make acne worse depending on the type of progestin in it You need the least androgenic type possible and sprintec has worked the best for me Nearly clear skin Takes about months to fully work but it does work,9,best treatment acn i use ive gone accutan mani face wash retinol cream form birth control some form birth control make acn wors depend type progestin you need least androgen type possibl sprintec work best nearli clear skin take month fulli work work,0.9397605612874032
Elbasvir / grazoprevir,I started taking Zepatier three days ago No sides effects till now I would like to share only this that I feel a slight pain in the back of the head Thats all for now Ill keep my fingers crossed till I finish in weeks Update Now Ive finish my rd week of the treatment No sides effects even my blood test is brilliant Ill inform you when I finish my weekUpdate Incredible On my st day the virus is undetectable Before start taking Zepatier I had viral load now the results are negative No side effects Zepatier is working very well Thank you Zepatier,10,i start take zepati three day ago no side effect till i would like share i feel slight pain back head that ill keep finger cross till i finish week updat now ive finish rd week treatment no side effect even blood test brilliant ill inform i finish weekupd incred on st day viru undetect befor start take zepati i viral load result neg no side effect zepati work well thank zepati,1.000000011175871
Clomiphene,I took Clomid for the first time last month My husband and I tried for a year I have a blocked Fallopian tube I had to use estrogen medicine also because my uterine lining was too thin Then my doctor had me use HCG shot to stimulate ovulation since Clomid can apparently mess up ifwhen ovulation occurs I took the HCG shot over weeks ago I noticed some weird symptoms a few days ago and I just took multiple pregnancy tests And Im pregnant So Clomid worked great for me so far Yay,10,i took clomid first time last month my husband i tri year i block fallopian tube i use estrogen medicin also uterin line thin then doctor use hcg shot stimul ovul sinc clomid appar mess ifwhen ovul occur i took hcg shot week ago i notic weird symptom day ago i took multipl pregnanc test and im pregnant so clomid work great far yay,1.0000000186264515
Docusate / senna,I am a year old womenI was bloating a lot from not poopingAlls good now,8,i year old womeni bloat lot poopingal good,0.8515956066548824
Amitiza,I had a tummy tuck on Dec The surgery was painful but the constipation from opioids from the surgery was just as bad My plastic surgeon wasnt familiar with treating OIC so I called my primary care physician She gave me Amitiza mcg It took almost two days but it was amazing and I was so thankful I had to remain on opioids for three weeks and the Amitiza worked so well I havent had any issues Thank you Amitiza,10,i tummi tuck dec the surgeri pain constip opioid surgeri bad my plastic surgeon wasnt familiar treat oic i call primari care physician she gave amitiza mcg it took almost two day amaz i thank i remain opioid three week amitiza work well i havent issu thank amitiza,0.999999962747097
Etonogestrel,My experience during the nexplon is great not a pregnancy yet My only issue is it causes me too much bleeding I get my periods from every other week up to month up to month And it ruins My sex life,10,my experi nexplon great pregnanc yet my issu caus much bleed i get period everi week month month and ruin my sex life,1.0000000149011612
Nexplanon,Ive had mine for over a year and noticed the weight gain mood swings but no acne My body adjusted quick and I lost the weight The only issue Ive had is every time my boyfriend and I have sex I spot the next day for less than a week Other than those issues I love it and recommend it to all of my friends,6,ive mine year notic weight gain mood swing acn my bodi adjust quick i lost weight the issu ive everi time boyfriend i sex i spot next day less week other issu i love recommend friend,0.9541123080998659
Sildenafil,Awesome My new boyfriend has a few issues I believe it is all mental because of the bad relationships in the past He ordered this and then was prescribed this I told him he will go broke and he said it is sooooo worth it I orgasm every time sometimes twice and he does too Wow,10,awesom my new boyfriend issu i believ mental bad relationship past he order prescrib i told go broke said sooooo worth i orgasm everi time sometim twice wow,1.000000026077032
Lo Loestrin Fe,I am always bleeding between periods Irsquove also gained pounds and on a skinny girl itrsquos very noticeable My acne hasnrsquot got worse or better And now Irsquom not getting my period when I should be I am experiencing depression where I donrsquot want to be around anyone I donrsquot want to eat because Irsquom gaining so much weight Irsquom stuck in my head and lashing out at people Irsquom not my normal self I wish I found a pill that rids my acne and doesnrsquot affect my weight or sex drive,2,i alway bleed period irsquov also gain pound skinni girl itrsquo notic my acn hasnrsquot got wors better and irsquom get period i i experienc depress i donrsquot want around anyon i donrsquot want eat irsquom gain much weight irsquom stuck head lash peopl irsquom normal self i wish i found pill rid acn doesnrsquot affect weight sex drive,-0.06173660047352314
Ledipasvir / sofosbuvir,Had hepc since early s and cirrhosis for the last yrs Tried interferon and riboviron which had to stop treatments due to side effects that was terrible Got on transplant list in Oct of and received a new liver on Dec I was really blessed Hepc was on a mission to destroy new liver but after weeks of harvoni virus is undetectable Another blessing Am still on treatments for more weeks but side effects so no problem,10,had hepc sinc earli cirrhosi last yr tri interferon riboviron stop treatment due side effect terribl got transplant list oct receiv new liver dec i realli bless hepc mission destroy new liver week harvoni viru undetect anoth bless am still treatment week side effect problem,1.0000000149011612
Sertraline,These reviews helped me so much when I first started Zoloft over weeks ago that I wanted to post my experience After several weeks of increasingly worsening panic attacks at work I ended up in the hospital A year ago my psych Dr switched me from cymbalta to a mood stabilizer and things were good until November as stress at work increased I was depending on too much bromazepam to get through the day My GP started me on mg of Zoloft and my anxiety was so bad also tremors for weeks I was sure I would have to quit working or cut my hours But this Monday on week was amazing I still have some anxiety but I seem to be able to handle it now Its like I have my confidence back Good luck,10,these review help much i first start zoloft week ago i want post experi after sever week increasingli worsen panic attack work i end hospit a year ago psych dr switch cymbalta mood stabil thing good novemb stress work increas i depend much bromazepam get day my gp start mg zoloft anxieti bad also tremor week i sure i would quit work cut hour but monday week amaz i still anxieti i seem abl handl it like i confid back good luck,1.0000000204890966
Oxcarbazepine,YO caucasian male Developed MS diagnosed Developed trigeminal neuralgia in lasting days Started on Carbamazepin TN returned constant ever since Had microvascular decompression surgery on Pain ceased for days after surgery then returned as severe as before Surgery recovery was painful left me weak disoriented amp less mobile Neurologist changed Rx from Carbamazepine to Oxcarbazepine mg twice daily days ago Deep facial lancinating pain has remissed but still have burning electric jolting pain in upper lip and cheek Also taking Tramadol HCL mg once daily which seems to help Carbamazepine never worked OxcarbazepineTramadol combo seems effective,7,yo caucasian male develop ms diagnos develop trigemin neuralgia last day start carbamazepin tn return constant ever sinc had microvascular decompress surgeri pain ceas day surgeri return sever surgeri recoveri pain left weak disori amp less mobil neurologist chang rx carbamazepin oxcarbazepin mg twice daili day ago deep facial lancin pain remiss still burn electr jolt pain upper lip cheek also take tramadol hcl mg daili seem help carbamazepin never work oxcarbazepinetramadol combo seem effect,0.8328722581267357
Wellbutrin,Started taking it and I slept well at night and awoke early around to start my day happily But come am and I am drowsy and needed to take already two hrs nap Awake and resume My day with not much difficulties Than st pm again I needed a nap So how was I gonna make it to work and my appointments too I went cold turkey Felt much better after that Only to crash again I did try other anti depressants including pristique But I suffered with insomnia with these meds I know I need to start again but so confused if I should resume welbutrin,4,start take i slept well night awok earli around start day happili but come i drowsi need take alreadi two hr nap awak resum my day much difficulti than st pm i need nap so i gon na make work appoint i went cold turkey felt much better onli crash i tri anti depress includ pristiqu but i suffer insomnia med i know i need start confus i resum welbutrin,0.7046575665473938
NuvaRing,I have been on pills for years and in I tried Mirena I had cramps and terrible side effects all the time and just had it taken out last month because I have gained around lbs in my stomach area I have been on Nuvaring for about weeks and so far its way better As soon as Mirena was removed my weird stomach pains stopped but Im still trying to lose the extra weight,7,i pill year i tri mirena i cramp terribl side effect time taken last month i gain around lb stomach area i nuvar week far way better as soon mirena remov weird stomach pain stop im still tri lose extra weight,0.9054576084017754
Levonorgestrel,I had the Mirena put in almost a year ago Insertion was a breeze next to no cramping My periods have remained heavy and do not show signs of stopping Have gained about pounds have acne and headaches and backache so now I am wondering what is next My doctor would not take it out and wanted me to remain on it for a year It is almost a year so I am finding a new doctor and getting it taken out,1,i mirena put almost year ago insert breez next cramp my period remain heavi show sign stop have gain pound acn headach backach i wonder next my doctor would take want remain year it almost year i find new doctor get taken,0.22654529772698878
Phillips' Milk of Magnesia,Drinking a few extra oz bottles of water during the period after taking the Milk of Magnesia will help stop the painful hard stools constipation usually brings It will help ease the release There can be different amount of time you can expect the recommended dosage to work For me its best taken on an empty stomach No food for hours or more helps speed the desired effect If its been several days since you normally have movements it will also take longer for the effects to begin Drink water as much as you possibly can If diarrhea occurs cut back on water Take the prescribed dose not more Drinking lots of water along with sufficient fiber in my diet has become much easier than fighting with constant constipation,9,drink extra oz bottl water period take milk magnesia help stop pain hard stool constip usual bring it help eas releas there differ amount time expect recommend dosag work for best taken empti stomach no food hour help speed desir effect if sever day sinc normal movement also take longer effect begin drink water much possibl if diarrhea occur cut back water take prescrib dose drink lot water along suffici fiber diet becom much easier fight constant constip,0.9496774211525918
Nature-Throid,do not take this medicine without the supervision of an endroconologist It was NOT for me,1,take medicin without supervis endroconologist it not,-0.031826066458597785
Lithium,I appreciate Lithium Although my thyroid level is low a supplement helps to equalize this problem Ive been through at least different medications to stabilize my Bipolar diagnosis I always wanted to be of normal state of mind Lithium has allowed me to be equally yoked with myself mg ER in the evening mg of Seroquel in the evening mg of Cymbalta in the morning Im set If Im feeling anxiety I can add Busper or Loranzapam,10,i appreci lithium although thyroid level low supplement help equal problem ive least differ medic stabil bipolar diagnosi i alway want normal state mind lithium allow equal yoke mg er even mg seroquel even mg cymbalta morn im set if im feel anxieti i add busper loranzapam,0.9999999850988388
Oxycodone,Ive been taking oxycodone for roughly yearsIve gone a few weekends without it before because Ive ran out but never experienced any withdrawal symptoms It works great if you take it exactly when you need to and dont exceed your prescribed amount or take it early Ive been living with chronic pain for yearshave had a complete joint replacement on one side and and anchor placed on the other side of my jaw The surgeries help immensely but Ill still always be in pain Been taking the same dosage of mg x a day for the years and yes my body is used to the effects so it doesnt work as well but it works well enough and I refuse to take a higher dosage or more pills per day becausewell lets face itthis medicine is scarey,8,ive take oxycodon roughli yearsiv gone weekend without ive ran never experienc withdraw symptom it work great take exactli need dont exceed prescrib amount take earli ive live chronic pain yearshav complet joint replac one side anchor place side jaw the surgeri help immens ill still alway pain been take dosag mg x day year ye bodi use effect doesnt work well work well enough i refus take higher dosag pill per day becausewel let face itthi medicin scarey,0.9078234195709229
Cialis,My husband age has been having problems with Benign Prostate Hyperplasia and erectile dysfunction as well We had gone from a fantastic sex life to one that was fading fast Then his doctor put him on a small daily dose mg of Cialis Holy smokes He is bigger and harder than he was at I am loving this I have always had a powerful sex drive and I was resigning myself to watching that fade away Im now clearing my schedule for action I am honestly feeling more satisfied than I did at Ladies if your guy is slowing down push him to do this You may not have as much time to clean the house but both of you will be smiling a lot more,10,my husband age problem benign prostat hyperplasia erectil dysfunct well we gone fantast sex life one fade fast then doctor put small daili dose mg ciali holi smoke he bigger harder i love i alway power sex drive i resign watch fade away im clear schedul action i honestli feel satisfi i ladi guy slow push you may much time clean hous smile lot,1.0000000149011612
Estradiol,Im and recently started on this medicine Almost immediate relief of vulvar dryness and pain Not sure yet if the painful intercourse will be relieved but this looks optimistic to me after many months of intense pain Medicine does not seem gooey or even noticeable when used Really like it so far,9,im recent start medicin almost immedi relief vulvar dryness pain not sure yet pain intercours reliev look optimist mani month intens pain medicin seem gooey even notic use realli like far,0.912457673624158
Sronyx,This medicine is absolutely terrible After three months of using it my hair has fallen out so much so that I can see my scalp very visibly and its very very embarrassing I stopped taking it and am now considering a copper iud No more hormones for me,3,thi medicin absolut terribl after three month use hair fallen much i see scalp visibl embarrass i stop take consid copper iud no hormon,-0.27894473886117344
Augmentin XR,Had a cat bite me on my handfull set of teeth and sharp Hand swelled and was red Took augmentin hours after being bitten and within days swelling went down and redness had faded years as an animal control officer and never injured oncehelp my friend pick out a cat at the local humane society and get bittenoh the irony This is an excellent medicine for cat bites Had a friend tell me her dad got bitten by a cat and he ended up in the hospital and almost died from an infection Lucky me from my experience I knew to seek medical attention immediately Anyone bitten by a cat should know they have about an chance of infection and need to take it very seriously or youll end up in hospital,9,had cat bite handful set teeth sharp hand swell red took augmentin hour bitten within day swell went red fade year anim control offic never injur oncehelp friend pick cat local human societi get bittenoh ironi thi excel medicin cat bite had friend tell dad got bitten cat end hospit almost die infect lucki experi i knew seek medic attent immedi anyon bitten cat know chanc infect need take serious youll end hospit,0.9800515159964561
Monistat 7-Day Combination Pack,So yes the first use was an experience I had been so raw from constant itching that seemed to get worse within a few hours I applied the cream to my lady parts and talk about wanting to take a cheese grater to your down under itchy fire parts I had to take some Benadryl to help the itching The vaginal insert of the cream wasnt bad until it meltsand then it gets itchy inside your lady cave so to speak After the first hour it seemed to calm down a lot I shouldnt have waited so long to have done something about it I never had any thick discharge so I thought it was just a little irritated I had never had a yeast infection and lord knows dont ever want to go through this again But the product overall works,8,so ye first use experi i raw constant itch seem get wors within hour i appli cream ladi part talk want take chees grater itchi fire part i take benadryl help itch the vagin insert cream wasnt bad meltsand get itchi insid ladi cave speak after first hour seem calm lot i shouldnt wait long done someth i never thick discharg i thought littl irrit i never yeast infect lord know dont ever want go but product overal work,0.9289085865020752
Plan B One-Step,Had sex on the th of August Took Plan B about hours after from the intercourse Havent gotten my period yet because Im not supposed to be due until the th of August but a major side effect that Ive been experiencing is a MAJOR amount of tiredness and exhaustion When I got home from work the day after I took the pill I went upstairs around pm to sleep and woke up the next day around pm I wake up extremely exhausted and my feet start to get tired as well Also I barely ever hungry anymore Im years old so this is very unusual for a teen Hopefully my period comes soon,9,had sex th august took plan b hour intercours havent gotten period yet im suppos due th august major side effect ive experienc major amount tired exhaust when i got home work day i took pill i went upstair around pm sleep woke next day around pm i wake extrem exhaust feet start get tire well also i bare ever hungri anymor im year old unusu teen hope period come soon,0.9913009867072106
Alprazolam,My ears were ringing like crazy I was almost to start break down and cry but I was reading on one guys experience on how to best the ringing and everything he went thru I was going thru so I stsrted to do exactly what he said is to tune it out cause the more you think about it the worse it gets because with titinus you csn become your own worst enemy So I keep reading on other testimonials and read alot of people took zanax and it seemed to quite the ringing down So I had a zanax mg took it also because I couldnt sleep the next day I woke up with a slight ringing and as the day progressed it went completely away Thank the lordI truly believe that this oh s a condition thats related to the nrevous system there is s cure out,10,my ear ring like crazi i almost start break cri i read one guy experi best ring everyth went thru i go thru i stsrted exactli said tune caus think wors get titinu csn becom worst enemi so i keep read testimoni read alot peopl took zanax seem quit ring so i zanax mg took also i couldnt sleep next day i woke slight ring day progress went complet away thank lordi truli believ oh condit that relat nrevou system cure,1.0000000447034836
Fluoxetine,I started Prozac as one of my first anti depressants for MDD It made me horribly sick I was nauseous all day and wouldnt eat for days at a time I stayed on it to try and get thorough the side effects but they wouldnt stop I was throwing up every other day One day I woke up and I started to violently shake This lasted for over hours until I ended up in the hospital with Tachycardia This was a horrible experience and months later I still have stomach and heart issues Im on new medications now But because of my bad experience I get very anxious when I take them,2,i start prozac one first anti depress mdd it made horribl sick i nauseou day wouldnt eat day time i stay tri get thorough side effect wouldnt stop i throw everi day one day i woke i start violent shake thi last hour i end hospit tachycardia thi horribl experi month later i still stomach heart issu im new medic but bad experi i get anxiou i take,-0.15804436472244562
Aripiprazole,Intake Effexor XR mg and lorazepam for depression and anxiety My doctor added Abilify and I took it in mornings It made me foggy I moved it to Bertie and sleep better overall I have noticed an increase in irritability which equates to feeling extremely angry by pm daily Ive rearranged my lorazepam to reduce that but need more time Im also having restlessness which almost feels manic We shall see Increased cravings for sweets,4,intak effexor xr mg lorazepam depress anxieti my doctor ad abilifi i took morn it made foggi i move berti sleep better overal i notic increas irrit equat feel extrem angri pm daili ive rearrang lorazepam reduc need time im also restless almost feel manic we shall see increas crave sweet,0.1378022067248821
NuvaRing,I am torn by the Nuvaring The convenience is great There is no daily time to take a pill only once a month which can easily be marked on a calender or put into a phone It never falls out I never feel it and changing it is simple too I would give the Nuvaring a out of just based upon the simplicity and the price is really reasonable too But there are some downsides for me personally For the first few months I did not notice side effects although they are there I have a VERY low tolerance to alcohol when on the Nuvaring Very emotional tired and strung out all the time I was on the pill before and none of these happened I also have longer periods Its worth a try every girl seems to have a different experience,5,i torn nuvar the conveni great there daili time take pill month easili mark calend put phone it never fall i never feel chang simpl i would give nuvar base upon simplic price realli reason but downsid person for first month i notic side effect although i veri low toler alcohol nuvar veri emot tire strung time i pill none happen i also longer period it worth tri everi girl seem differ experi,0.8026851788163185
Spironolactone,Im years old I started having really bad skin about years ago from maybe stress in my life But I tried EVERYTHING to get rid of it and it just got worse I finally went to a dermatologist and she put me on spironolactone My skin started getting better in about two weeks I LOVED it Ive been taking it for about months and I get compliments from Makeup artist and models Im a hairstylist about how good my skin is Another plus for me is my breasts went from a small B to a C I decided to stop taking it for a week and my breasts went small again and my skin is getting a little oily So Im going back on I only take one a day,9,im year old i start realli bad skin year ago mayb stress life but i tri everyth get rid got wors i final went dermatologist put spironolacton my skin start get better two week i love ive take month i get compliment makeup artist model im hairstylist good skin anoth plu breast went small b c i decid stop take week breast went small skin get littl oili so im go back i take one day,0.91981385871768
Fluvoxamine,Ive suffered from panic attacks and anxiety for years I took Paxil for many years but its effectiveness waned and I hated the weight gain and sexual sideeffects that came with it I switched to Luvox starting with mg and it worked miracles Eventually I had to move up to mg and now for the last two years mg I have had no adverse effects and it has been a lifesaver Eventually when my son was diagnosed with panic disorder certainly inherited from me much like I inherited it from my mother his doctor tried Luvox for him too His assumption was that our genetic similarity and our similar diagnosis might be treated by the same medicine He was right Both my son and I are living anxietyfree panic attackfree lives,9,ive suffer panic attack anxieti year i took paxil mani year effect wane i hate weight gain sexual sideeffect came i switch luvox start mg work miracl eventu i move mg last two year mg i advers effect lifesav eventu son diagnos panic disord certainli inherit much like i inherit mother doctor tri luvox hi assumpt genet similar similar diagnosi might treat medicin he right both son i live anxietyfre panic attackfre live,0.9426889255642891
Macrobid,Awful medicine the worst The side effects outweigh the benefit Headache the first night leg and back pain Sensitive skin just awful Pain got worse and worse I changed my meds to ciproflaxcin I have used this in the past so hopefully it will continue to help I even questioned the doc at urgent care to see if I can take cipro and she offered macrobid Maybe this urgent care and this medication is something they get a deal onstay away from macrobid,1,aw medicin worst the side effect outweigh benefit headach first night leg back pain sensit skin aw pain got wors wors i chang med ciproflaxcin i use past hope continu help i even question doc urgent care see i take cipro offer macrobid mayb urgent care medic someth get deal onstay away macrobid,0.10104881152510642
Lurasidone,Ive been on Latuda for a little under and a half years It almost completely stopped my psychotic symptoms except I still hear voices now and then mainly when I try to go to sleep but there are no delusions or paranoia while on the drug I take cogentin in combination with it because it causes me to shake a lot Main side effects I experience include anhedonia shakiness jaw clenching and inability to sit still However Im happy with it because it actually works while other antipsychotic meds I tried did not and it doesnt cause the endless hunger that I experienced with drugs like Saphris Haldol Zyprexa and Risperdal It should be noted I am at the max daily dose which is mg,8,ive latuda littl half year it almost complet stop psychot symptom except i still hear voic mainli i tri go sleep delus paranoia drug i take cogentin combin caus shake lot main side effect i experi includ anhedonia shaki jaw clench inabl sit still howev im happi actual work antipsychot med i tri doesnt caus endless hunger i experienc drug like saphri haldol zyprexa risperd it note i max daili dose mg,0.8803321048617363
Adapalene / benzoyl peroxide,Ive seriously only been using Epiduo for four days and have seen A HUGE improvement My skin is a little dry but I use Cetaphil moisturizer to balance it out I am also using Doxycycline along with the topical treatment Epiduo and my acne is getting soooo much better LOVE IT,8,ive serious use epiduo four day seen a huge improv my skin littl dri i use cetaphil moistur balanc i also use doxycyclin along topic treatment epiduo acn get soooo much better love it,0.8039276901632548
Brimonidine,This cream is absolutely horrible I will admit the cream initially does what is says it will do gets rid of the redness However this is completely temporary around hours in my experience What comes afterward is a serious rebound I spent the day outside in the cold weather normally a trigger for me which would normally warrant redness and when I came back in around hours later my face has never felt hotter in my life My skin burned and was unbelievably deep red it looked as if I had held my face up against a fire This lasted around hours I used it once more thinking my skin needed to get used to it and the results were even worse I threw away all of my samples after days,1,thi cream absolut horribl i admit cream initi say get rid red howev complet temporari around hour experi what come afterward seriou rebound i spent day outsid cold weather normal trigger would normal warrant red i came back around hour later face never felt hotter life my skin burn unbeliev deep red look i held face fire thi last around hour i use think skin need get use result even wors i threw away sampl day,-0.046481554768979555
Amlodipine / olmesartan,My blood pressure has been around Doctor prescribed Azor Just hrs later my reading showed I was amazed I am now on it daily Thanks to Azor,10,my blood pressur around doctor prescrib azor just hr later read show i amaz i daili thank azor,0.9999999841675162
Loestrin 24 Fe,Im and I have been on Loestrin for about a week and half The day I got them and started taking them was a day after I stopped my period and two days ago I started my period it is like a normal I dont think I have gained weight due to me being sick and therefore dont eat as much as I normally do but I did not lose weight like I normally do when Im sick I have been getting cramps which I dont normally get except the first one or two days of my period I have been really depressed and Im not a depressed person I mean I was crying over the stupidest things like my mom not cooking dinner when I wasnt even hungry Im going to talk to my doctor tomorrow,3,im i loestrin week half the day i got start take day i stop period two day ago i start period like normal i dont think i gain weight due sick therefor dont eat much i normal i lose weight like i normal im sick i get cramp i dont normal get except first one two day period i realli depress im depress person i mean i cri stupidest thing like mom cook dinner i wasnt even hungri im go talk doctor tomorrow,-0.1649740202352405
Linaclotide,So far loving this Stomach pain has almost disappeared havent had an attack in over a week Down side is have to be near a bathroom about an hour after taking it but that is manageable Hopefully it continues to work Time will tell,8,so far love stomach pain almost disappear havent attack week down side near bathroom hour take manag hope continu work time tell,0.8230191741138697
Mirtazapine,I used it at bed time along with Paxil I have anxiety and at times insomnia The lower the dose mg the more it becomes a sleep aid It worked well for both anxiety and insomnia,8,i use bed time along paxil i anxieti time insomnia the lower dose mg becom sleep aid it work well anxieti insomnia,0.8408834055066109
Acetaminophen / hydrocodone,I suffer from chronic pain due to severe arthritis and stenosis in my lumbar spine I take vicodin as needed to alleviate breakthrough pain ie occasional pain so great that my usual daily maintenance dose of Embeda ER morphinenaltrexone cannot relieve it It works well with the usual opioid side effects hence a score of,8,i suffer chronic pain due sever arthriti stenosi lumbar spine i take vicodin need allevi breakthrough pain ie occasion pain great usual daili mainten dose embeda er morphinenaltrexon reliev it work well usual opioid side effect henc score,0.8992019623517991
Isotretinoin,I just started this medication on April st and after days I started seeing the effects and I can see its taking its course and working so far The doctor started me on mg two times a day for months So far only side effect is dryness which was to be expected,7,i start medic april st day i start see effect i see take cours work far the doctor start mg two time day month so far side effect dryness expect,0.8611371643841267
Ropinirole,Been dealing with restless leg syndromefor about years It kept me from falling asleep First they gave me flexiril And it did nothing Than a miracle came about and I was prescribed reprinol and my legs havent twitched since Amazing drug I must say My sleep has improved greatly,10,been deal restless leg syndromefor year it kept fall asleep first gave flexiril and noth than miracl came i prescrib reprinol leg havent twitch sinc amaz drug i must say my sleep improv greatli,0.9999999990686774
Zoledronic acid,I dreaded the sideeffects and had NONE I had the intravenous infusion three days before Christmas and was scared that I would be flattened by the supposed sideeffects like flulike symptoms bone ache and so forth and was pleasantly surprised I am having my second one in just ten days time and hopefully it will be a repeat of the first one,10,i dread sideeffect none i intraven infus three day christma scare i would flatten suppos sideeffect like flulik symptom bone ach forth pleasantli surpris i second one ten day time hope repeat first one,1.0000000298023224
Lamictal,This is a very good medication IMO When you titrate up to the dose intended you will notice subtle differences Many times I have thought that this had flattened me out but when I backed off the dose symptoms came roaring back No noticeable side effects for me Helps stability very well maybe the cause of some anxiety not much tho,9,thi good medic imo when titrat dose intend notic subtl differ mani time i thought flatten i back dose symptom came roar back no notic side effect help stabil well mayb caus anxieti much tho,0.9245617672801018
Levonorgestrel,My time with skyla has been an absolute breeze Ms Skyla and i have been together since late october and it has been great I must admit that the insertion is a bit painfulbut you will soon forget I got cramps for about a weekafter insertion Nothing that a littlw ibuprofen couldnt tackle I urge anyone who is thinking about skyla to just do it I promise it is worth it Please remember that pain is subjective Meaning it just depends on the person,10,my time skyla absolut breez ms skyla togeth sinc late octob great i must admit insert bit painfulbut soon forget i got cramp weekaft insert noth littlw ibuprofen couldnt tackl i urg anyon think skyla i promis worth pleas rememb pain subject mean depend person,0.9999999329447746
Buspirone,Have tried Paxil and Lexapro which sent me into hyperpanic and GAD I was about to give up on medicines and accept my miserable anxiety as a fact of life when my Doctor recommended Buspirone I noticed my anxiety began to taper the second day I took the medication No real side effects to speak of through my first week The one thing it has delivered for me HOPE,9,have tri paxil lexapro sent hyperpan gad i give medicin accept miser anxieti fact life doctor recommend buspiron i notic anxieti began taper second day i took medic no real side effect speak first week the one thing deliv hope,0.9775876015424728
Propranolol,I have been suffering with this anxiety problem for years and it was starting to interfere with my life I am a confident person socially but my fear of presentations was huge and I would my voice would tremble to the extent where it sounded like I was full on crying I researched medication for this fear and found propanolol My doctor prescribed me with mg Half Inderal Propanolol and despite what some say he was not hesitant about giving me a prescription and said he regularly gives it to musicianspublic speakers etc It has worked wonders for me I no longer embarrass my self and now feel happy and confident You may still feel nervy but the adrenaline does not kick in I have not suffered any symptoms and only take it seldomly,10,i suffer anxieti problem year start interfer life i confid person social fear present huge i would voic would trembl extent sound like i full cri i research medic fear found propanolol my doctor prescrib mg half inder propanolol despit say hesit give prescript said regularli give musicianspubl speaker etc it work wonder i longer embarrass self feel happi confid you may still feel nervi adrenalin kick i suffer symptom take seldomli,1.0000000186264515
Focalin,My year old son has been on various medicines for ADHD since he was We just switched to Focalin mg about weeks ago We are noticing that by about in the afternoon it is completely out of his system and there is no focus We are going to try a booster dose of mg in the afternoon Im going to talk to our doctor about lowering his morning dose because he feels shaky and tired which I thought would have subsided by now His focus is terrific but I wonder if we can get the same results by knocking down the dose a bit and adding the booster Other than that his sleep and eating habits are the same Whew,9,my year old son variou medicin adhd sinc we switch focalin mg week ago we notic afternoon complet system focu we go tri booster dose mg afternoon im go talk doctor lower morn dose feel shaki tire i thought would subsid hi focu terrif i wonder get result knock dose bit ad booster other sleep eat habit whew,0.9729922622442245
